VOICE	en-US	en-GB	de-DE	de-CH	ru-RU	es-MX	es-ES	pt-BR	fr-FR	it-IT	zh-CN	ja-JP	ar-SA	Transcript-zh-CN
animal world	spider		die Spinne	Spinne	паук	la araña		a aranha	l'araignée	il ragno	蜘蛛	クモ	عنكبوت	zhīzhū
animal world	squirrel		das Eichhörnchen	Eichhörnli	белка	la ardilla		o esquilo	l'écureuil	lo scoiattolo	松鼠	リス	سنجاب	sōngshǔ
animal world	swan		der Schwan	Schwan	лебедь	el cisne		o cisne	le cygne	il cigno	天鹅	白鳥	بجعة	tiān'é
animal world	tiger		der Tiger	Tiger	тигр	el tigre		o tigre	le tigre	la tigre	老虎	虎	نمر	lǎohǔ
animal world	turkey		der Truthahn	Truthahn	индюк	el pavo		o peru	le dindon	il tacchino	火鸡	七面鳥	ديك رومي	huǒ jī
animal world	turtle		die Schildkröte	Schildkrot	черепаха	la tortuga		a tartaruga	la tortue	la tartaruga	乌龟，海龟	亀	سلحفاة	wūguī, hǎiguī
animal world	wasp		die Wespe	Wäspi	оса	la avispa		a vespa	la guêpe	la vespa	黄蜂	スズメバチ	دبور	huángfēng
animal world	whale		der Wal	Wal	кит	la ballena		a baleia	labaleine	la balena	鲸	クジラ	حوت	jīng
animal world	wolf		der Wolf	Wolf	волк	el lobo		o Lobo	le loup	il lupo	狼	狼	الذئب	Láng
animal world	woodpecker		der Specht	Späächt	дятел	el pájaro carpintero		o Pica pau	le pivers	il picchio	啄木鸟	キツツキ	نقار الخشب	zhuómùniǎo
animal world	worm		der Wurm	Wurm	червь	el gusano		a Minhoca	le ver	il verme	蠕虫	ミミズ	دودة	rúchóng
animal world	zebra		das Zebra	Zebra	зебра	la cebra		a zebra	le zèbre	la zebra	斑马	シマウマ	حمار الوحشي	bānmǎ
body parts	abdomen		das Abdomen, der Bauch	Buuch	живот, пресс	el vientre, el abdomen		o abdômen	le ventre, l’abdomen	il ventre, l'addome	腹部	腹部	بطن	fùbù
body parts	arm		der Arm		рука	el brazo		o braço	le bras	il braccio	手臂	腕	ذراع	shǒubì
body parts	back		der Rücken	Rugge	спина	la espalda		as costas	le dos	la schiena	背	背中	ظهر	bèi
body parts	beard		der Bart		борода	la barba		a barba	la barbe	la barba	胡子	髭	لحية	húzi
body parts	belly button		der Bauchnabel	Buchnabel	пупок	el ombligo		o umbigo	le nombril	l'ombelico	肚脐	へそ	السرة	dùqí
body parts	body		der Körper		тело	el cuerpo		o corpo	le corps	il corpo	身体	体	الجسم	shēntǐ
body parts	braid	plait	der Zopf		коса	la trenza		a trança	la tresse	la treccia	辫子	三つ編み	جديلة	biànzi
body parts	breast		die Brust	Bruscht	грудь	el pecho		o peito	la poitrine	il seno	胸部	胸	الصدر	xiōngbù
body parts	cheek		die Wange	Backe	щека	la mejilla		a bochecha	la joue	la guancia	脸颊	頬	الخد	liǎnjiá
body parts	chin		das Kinn	Chüni	подбородок	la barbilla	el mentón	o queixo	le menton	il mento	下巴	顎	ذقن	xiàbā
body parts	ear		das Ohr		ухо	la oreja		a orelha	l'oreille	l'orecchio	耳朵	耳	أذن	ěrduǒ
body parts	elbow		der Ellbogen		локоть	el codo		o cotovelo	le coude	il gomito	肘部	肘	كوع	zhǒu bù
body parts	eye		das Auge		глаз	el ojo		o olho	l'œil	l'occhio	眼睛	目	عين	yǎnjīng
body parts	eyebrow		die Augenbraue		бровь	la ceja		a sobrancelha	le sourcil	il sopracciglio	眉毛	眉	حاجب العين	méimáo
body parts	face		das Gesicht	Gsicht	лицо	la cara		o rosto	le visage	la faccia	脸	顔	وجه	liǎn
body parts	finger		der Finger		палец	el dedo		o dedo	le doigt	il dito	手指	指	اصبع اليد	shǒuzhǐ
body parts	fist		die Faust	Fuscht	кулак	el puño		o punho	le poing	il pugno	拳头	拳	قبضة	quántóu
body parts	foot		der Fuß	Fuess	ступня	el pie		o pé	le pied	il piede	脚	足	قدم	jiǎo
body parts	toe		der Zeh		палец ноги	el dedo del pie		o dedo do pé	l'orteil	il dito del piede	脚趾	つま先	اصبع القدم	jiǎozhǐ
body parts	ankle		der Knöchel		щиколотка	el tobillo		o tornozelo	la cheville	la caviglia	脚踝	足首	الكاحل	jiǎohuái
body parts	forehead		die Stirn		лоб	la frente		a testa	le front	la fronte	前额	額	جبهة الرأس	qián'é
body parts	freckle		die Sommersprosse		веснушка	la peca		as Sardas	la tache de rousseur	la lentiggine	雀斑	そばかす	نمش	quèbān
body parts	hair		die Haare		волосы	el pelo		o cabelo	les cheveux	i capelli	头发	髪	شعر	tóufǎ
body parts	hand		die Hand		кисть руки	la mano		a mão	la main	la mano	手	手	يد	shǒu
body parts	wrist		das Handgelenk		запястье	la muñeca		o pulso	le poignet	il polso	腕	手首	معصم	wàn
body parts	head		der Kopf		голова	la cabeza		a cabeça	la tête	la testa	头	頭	رأس	tóu
body parts	knee		das Knie	Knü	колено	la rodilla		o joelho	le genou	il ginocchio	膝盖	膝	ركبة	xīgài
body parts	leg		das Bein	Bei	нога	la pierna		a perna	la jambe	la gamba	退	足	ساق	tuì
body parts	thigh		der Oberschenkel		бедро, ляжка	el muslo		a coxa	la cuisse	la coscia	大腿	もも	فخذ	dàtuǐ
body parts	shin		das Schienbein		голень	la espinilla		a canela	le tibia	lo stinco	胫	すね	قصبة	jìng
body parts	lips		die Lippe		губы	los labios		os lábios	les lèvres	le labbra	嘴唇	唇	شفاه	zuǐchún
body parts	mouth		der Mund	Muul	рот	la boca		a boca	la bouche	la bocca	嘴巴	口	فم	zuǐbā
body parts	mustache	moustache	der Schnurrbart		усы	el bigote		o bigode	la moustache	i baffi	胡子	口ひげ	شارب	húzi
body parts	finger nail		der Fingernagel		ноготь	la uña		a unha 	l'ongle	l'unghia	指甲	指の爪	ظفر	zhǐjiǎ
body parts	neck		der Hals		шея	el cuello		o pescoço	le cou	il collo	脖子	首	العنق	bózi
body parts	nose		die Nase		нос	la nariz		o nariz	le nez	il naso	鼻子	鼻	أنف	bízi
body parts	shoulder		die Schulter		плечо	el hombro		o ombro	l'épaule	la spalla	肩膀	肩	كتف	jiānbǎng
body parts	skeleton		das Skelett		скелет	el esqueleto		o esqueleto	le squelette	lo scheletro	骨架	骨格	هيكل عظمى	gǔjià
body parts	spine, backbone		die Wirbelsäule		позвоночник	la columna vertebral, la espina dorsal		a coluna vertebral	la colonne vertébrale, l'épine dorsale	la colonna vertebrale, la spina dorsale	脊柱	バックボーン	العمود الفقري	jǐzhù
body parts	skull		der Schädel		череп	el cráneo		o crânio	le crâne	il cranio	头骨	頭蓋骨	الجمجمة	tóugǔ
body parts	rib		die Rippe		ребро	la costilla		a costela	la côte	la costola	肋骨	リブ	الضلع	lèigǔ
body parts	bone		der Knochen		кость	el hueso		o osso	l'os	l'osso	骨	骨	العظم	gǔ
body parts	jaw		der Kiefer		челюсть	la mandíbula		a mandíbula	la mâchoire	la mascella	颚	顎	الفك	è
body parts	tooth		der Zahn	Zah	зуб	el diente		o dente	la dent	il dente	牙齿	歯	السن	yáchǐ
body parts	tongue		die Zunge		язык	la lengua		a língua	la langue	la lingua	舌头	舌	لسان	shétou
body parts	waist		die Taille		талия	la cintura		a cintura	la taille	la vita	腰部	ウエスト	الخصر	yāobù
body parts	buttocks		der Hintern, der Po		попа, ягодицы	el trasero, las nalgas		as nádegas	les fesses	le natiche	臀部	臀部	الاليتان	túnbù
body parts	wound		die Wunde		рана	la herida		a ferida	la plaie	la ferita	创伤	傷	جرح	chuāngshāng
body parts	scar		die Narbe		шрам	la cicatriz		a cicatriz	la cicatrice	la cicatrice	疤痕	傷跡	ندبة	bāhén
body parts	skin		die Haut	Huut	кожа	la piel		a pele	la peau	la pelle	皮	皮膚	بشرة	pí
body parts	biceps		der Bizeps		бицепс	el bíceps		os bíceps	le biceps	il bicipite	二头肌	上腕二頭筋	العضلة ذات الرأسين	èr tóu jī
body parts	triceps		der Trizeps		трицепс	el tríceps		os Tríceps	le triceps	il tricipite	三头肌	上腕三頭筋	عضلة ثلاثية الرؤوس	sān tóu jī
body parts	blood		das Blut	Bluet	кровь	la sangre		o sangue	le sang	il sangue	血液	血、血液	دم	xiěyè
body parts	heart		das Herz		сердце	el corazón		o coração	le cœur	il cuore	心脏	心臓	قلب	xīnzàng
body parts	lungs		die Lunge		лёгкие	los pulmones		os pulmões	le poumon	i polmoni	肺	肺	الرئتين	fèi
body parts	stomach		der Magen		желудок	el estómago		o estômago	l'estomac	lo stomaco	胃	胃	معدة	wèi
body parts	liver		die Leber		печень	el hígado		o fígado	le foie	il fegato	肝脏	肝臓	كبد	gānzàng
body parts	brain		das Gehirn		мозг	el cerebro		o cérebro	le cerveau	il cervello	头脑	脳	دماغ	tóunǎo
body parts	sawdust		das Sägemehl		опилки	el serrín		a serragem	la sciure	la segatura	木屑	…のぼろをさらけ出す	نشارة الخشب	mùxiè
numbers & math	zero		null		ноль	cero		zero	zéro	zero	零	ゼロ	صفر	líng
numbers & math	one		eins	eis	один	uno		um	un	uno	一	一、壱	واحد	yī
numbers & math	two		zwei	zwei	два	dos		dois	deux	due	二	二	اثنان	èr
numbers & math	three		drei	drüü	три	tres		três	trois	tre	三	三	ثلاثة	sān
numbers & math	four		vier	vier	четыре	cuatro		quatro	quatre	quattro	四	四	أربعة	sì
numbers & math	five		fünf	foif	пять	cinco		cinco	cinq	cinque	五	五	خمسة	wǔ
numbers & math	six		sechs	sächs	шесть	seis		seis	six	sei	六	六	ستة	liù
numbers & math	seven		sieben	sibe	семь	siete		Sete	sept	sette	七	七	سبعة	qī
numbers & math	eight		acht	acht	восемь	ocho		oito	huit	otto	八	八	ثمانية	bā
numbers & math	nine		neun	nüün	девять	nueve		nove	neuf	nove	九	九	تسعة	jiǔ
numbers & math	ten		zehn	zää	десять	diez		dez	dix	dieci	十	十	عشرة	shí
numbers & math	eleven		elf	elf	одиннадцать	once		onze	onze	undici	十一	十一	احدى عشرة	shí yī
numbers & math	twelve		zwölf	zwölf	двенадцать	doce		doze	douze	dodici	十二	十二	اثني عشر	shí èr
numbers & math	thirteen		dreizehn	driizä	тринадцать	trece		treze	treize	tredici	十三	十三	ثلاثة عشر	shí sān
numbers & math	fourteen		vierzehn	vierzä	четырнадцать	catorce		quatorze	quatorze	quattordici	十四	十四	أربعة عشرة	shí sì
numbers & math	fifteen		fünfzehn	füfzä	пятнадцать	quince		quinze	quinze	quindici	十五	十五	خمسة عشر	shí wǔ
numbers & math	sixteen		sechzehn	sächzä	шестнадцать	dieciséis		dezesseis	seize	sedici	十六	十六	ستة عشر	shí liù
numbers & math	seventeen		siebzehn	sibezä	семнадцать	diecisiete		dezessete	dix-sept	diciassette	十七	十七	سبعه عشر	shí qī
numbers & math	eighteen		achtzehn	achzä	восемнадцать	dieciocho		dezoito	dix-huit	diciotto	十八	十八	ثمانية عشرة	shí bā
numbers & math	nineteen		neunzehn	nünzä	девятнадцать	diecinueve		dezenove	dix-neuf	diciannove	十九	十九	تسعة عشر	shí jiǔ
numbers & math	twenty		zwanzig	zwänzg	двадцать	veinte		vinte	vingt	venti	二十	二十	عشرون	èr shí
numbers & math	twenty-one		einundzwanzig	einezwänzg	двадцать один	veintiuno		vinte e um	vingt et un	ventuno	二十一	二十一	واحد و عشرون	èr shí yī
numbers & math	twenty-two		zweiundzwanzig	zweiezwänzg	двадцать два	veintidós		vinte e dois	vingt-deux	ventidue	二十二	二十二	اثنان وعشرون	èr shí èr
numbers & math	twenty-three		dreiundzwanzig	drüüezwänzg	двадцать три	veintitrés		vinte e três	vingt-trois	ventitré	二十三	二十三	ثلاثة وعشرون	èr shí sān
numbers & math	twenty-four		vierundzwanzig	vierezwänzg	двадцать четыре	veinticuatro		vinte e quatro	vingt-quatre	ventiquattro	二十四	二十四	أربعة وعشرون	èr shí sì
numbers & math	twenty-five		fünfundzwanzig	foifezwänzg	двадцать пять	veinticinco		vinte e cinco	vingt-cinq	venticinque	二十五	二十五	خمسة وعشرون	èr shí wǔ
numbers & math	twenty-six		sechsundzwanzig	sächsezwänzg	двадцать шесть	veintiséis		Vinte e seis	vingt-six	ventisei	二十六	二十六	ستة وعشرون	èr shí liù
numbers & math	twenty-seven		siebenundzwanzig	sibeezwänzg	двадцать семь	veintisiete		Vinte e sete	vingt-sept	ventisette	二十七	二十七	سبعة وعشرين	èr shí qī
numbers & math	twenty-eight		achtundzwanzig	achtezwänzg	двадцать восемь	veintiocho		Vinte e oito	vingt-huit	ventotto	二十八	二十八	ثمانية وعشرون	èr shí bā
numbers & math	twenty-nine		neunundzwanzig	nüünezwänzg	двадцать девять	veintinueve		Vinte e nove	vingt-neuf	ventinove	二十九	二十九	تسعة و عشرون	èr shí jiǔ
numbers & math	thirty		dreißig	drissg	тридцать	treinta		trinta	trente	trenta	三十	三十	ثلاثون	sān shí
numbers & math	fourty		vierzig	vierzg	сорок	cuarenta		Quarenta	quarante	quaranta	四十	四十	أربعين	sì shí
numbers & math	fifty		fünfzig	füfzg	пятьдесят	cincuenta		cinquenta	cinquante	cinquanta	五十	五十	خمسون	wǔ shí
numbers & math	sixty		sechzig	sechzg	шестьдесят	sesenta		sessenta	soixante	sessanta	六十	六十	ستون	liù shí
numbers & math	seventy		siebzig	sibezg	семьдесят	setenta		setenta	soixante-dix	settanta	七十	七十	سبعون	qī shí
numbers & math	eighty		achtzig	achzg	восемьдесят	ochenta		oitenta	quatre-vingts	ottanta	八十	八十	ثمانون	bā shí
numbers & math	ninety		neunzig	nünzg	девяносто	noventa		noventa	quatre-vingt-dix	novanta	九十	九十	تسعون	jiǔ shí
numbers & math	ninety-nine		neunundneunzig	nünenünzg	девяносто девять	noventa y nueve		noventa e nove	quatre-vingt-dix-neuf	novantanove	九十九	九十九	تسعة وتسعون	jiǔ shí jiǔ
numbers & math	hundred		hundert		сто	cien		cem	cent	cento	一百	百	مائة	yī bǎi
numbers & math	two hundred		zweihundert		двести	doscientos		duzentos	deux cents	duecento	二百	二百	مائتين	Èrbǎi
numbers & math	three hundred		dreihundert	drühundert	триста	trescientos		trezentos	trois cents	trecento	三百	三百	ثلاثمائة	sānbǎi
numbers & math	four hundred		vierhundert	vierhundert	четыреста	cuatrocientos		quatrocentos	quatre cents	quattrocento	四百	四百	أربعمائة	sìbǎi
numbers & math	five hundred		fünfhundert	foifhundert	пятьсот	quinientos		quinhentos	cinq cents	cinquecento	五百	五百	خمسمائة	wǔbǎi
numbers & math	six hundred		sechshundert		шестьсот	seiscientos		seiscentos	six cents	seicento	六百	六百	ستمائة	liùbǎi
numbers & math	seven hundred		siebenhundert	sibehundert	семьсот	setecientos		setecentos	sept cents	settecento	七百	七百	سبع مئة	qībǎi
numbers & math	eight hundred		achthundert		восемьсот	ochocientos		oitocentos	huit cents	ottocento	八百	八百	ثمانمائة	bābǎi
numbers & math	nine hundred		neunhundert	nünhundert	девятьсот	novecientos		novecentos	neuf cents	novecento	九百	九百	تسعمائة	jiǔbǎi
numbers & math	thousand		tausend	tuusig	тысяча	mil		mil	mille	mille	一千	千	ألف	yīqiān
numbers & math	million		die Million	Million	миллион	millón		milhão	million	milione	一百万	百万	مليون	yībǎi wàn
numbers & math	billion	milliard	die Milliarde	Milliard	миллиард	mil miliones		bilhão	milliard	miliardo	十亿	十億	مليار	shí yì
numbers & math	infinity		die Unendlichkeit	Unendlich	бесконечность	el infinito		o infinito 	l'infini	infinito	无穷	無限大	ما لا نهاية	wúqióng
numbers & math	quarter		das Viertel	en Viertel	четверть	un cuarto		um quarto	le quart	un quarto	四分之一、一刻钟	四分の一	ربع	sì fēn zhī yī, yīkè zhōng
numbers & math	one-third		das Drittel	en Drittel	треть	un tercio		um terço	le tiers	un terzo	三分之一	三分の一	الثلث	sān fēn zhī yī
numbers & math	one-half		die Hälfte	helfti	половина	la mitad		metade	la moitié	la metà	一半	二分の一、半分	نصف	yī bàn
numbers & math	two-thirds		zwei Drittel	zwei Drittel	две трети	dos tercios		Dois terços	deux tiers	due terzi	三分之二	三分の二	الثلثين	sān fēn zhī èr
numbers & math	three-quarters		das Dreiviertel	drüviertel	три четверти	tres cuartos		três quartos	trois-quarts	tre quarti	四分之三	四分の三	ثلاث أرباع	sì fēn zhī sān
numbers & math	one point two		eins Komma zwei	eis Komma zwei	один и две десятых	uno comma dos		Um ponto dois	une virgule deux	uno virgola due	一點二	一点二	واحد فاصل اثنين	yī diǎn èr
numbers & math	equal		ist gleich	isch gliich	равно	igual		igual	égal	uguale	等于	等しい	متساوي	děngyú
numbers & math	less than		kleiner als	chliiner als	меньше	menor que		menor que	plus petit que	meno di	少于	より小さい	أقل من	shǎo yú
numbers & math	greater than		größer als	grösser als	больше	mayor que		maior que	plus grand que	maggiore di	大于	より大きい	اكبر من	dàyú
numbers & math	plus		plus		плюс	más		mais	plus	più	加	プラス、足す	زائد	jiā
numbers & math	minus		minus		минус	menos		menos	moins	meno	负	マイナス、引く	ناقص	fù
numbers & math	times		mal		умножить на	multiplicado		Vezes; multiplicado por	fois	per	乘以	かける	مرات	chéng yǐ
numbers & math	divided by		durch		разделить на	dividido		dividido por	divisé	diviso per	除以	で割ると	مقسوم على	chú yǐ
numbers & math	square root		die Quadratwurzel	Quadratwurzel	(квадратный) корень	la raíz cuadrada		a raiz quadrada	racine carrée	radice quadrata	平方根	平方根	الجذر التربيعي	píngfānggēn
numbers & math	squared		im Quadrat		в квадрате	al cuadrado		ao quadrado	au carré	quadrato	平方，二次方	二乗	التربيعية	píngfāng, èr cì fāng
numbers & math	equation		die Gleichung	Gliichig	уравнение	la ecuación		a equação	la équation	equazione	方程	方程式	معادلة	fāngchéng
numbers & math	function		die Funktion		функция	la función		a função	la fonction	la funzione	功能	関数	الوظيفة	gōngnéng
numbers & math	limit		die Grenze		предел	el límite		o limite	la limite	il limite	限度	極限、限界	حد	xiàndù
numbers & math	derivative		das Derivat		производная	la derivada		o derivado	la dérivée	la derivata	衍生物	微分係数	المشتق	yǎnshēng wù
numbers & math	integral		das Integral		интеграл	la integral		o integral	l'intégrale	l'integrale	积分（学）	積分	التكامل	jīfēn (xué)
numbers & math	x to the power of n		x hoch n		x в степени n	x a la potencia de n		x elevado a n	x à la puissance n	x elevato ad n	X要n次方	Xのｎ乗	س لقوة ن	X yào n cì fāng
numbers & math	percent		das Prozent		процент	por ciento		porcento	pour cent	percento	百分比	パーセント	فى المائة	bǎifēnbǐ
numbers & math	sum		die Summe		сумма	la summa		a soma	la somme	la somma	总和	和、合計	مجموع	zǒnghé
numbers & math	product		das Produkt		произведение	el producto		o produto	le produit	il prodotto	乘积	（掛け算の）積	المنتج	chéngjī
numbers & math	periodicity		die Periodizität		периодичность	la periodicidad		a periodicidade	la périodicité	la periodicità	周期性	周期性	دورية	zhōuqí xìng
calendar, time	year		das Jahr		год	el año		o ano	l'an, l'année	anno	年	年	سنة	nián
calendar, time	month		der Monat		месяц	el mes		o mês	le mois	mese	月	月	شهر	yuè
calendar, time	week		die Woche	Wuche	неделя	la semana		a semana	la semaine	settimana	周	週	أسبوع	zhōu
calendar, time	day		der Tag		день	el día		o dia	le jour	giorno	天	日	يوم	tiān
